Epoch,PC_Index,Source_Line,Voltage,Action,Status,Total_Cycles,Wasted_Cycles,Wasted_Time_ms
0,1,35,3.296968304366907,EXECUTE,SUCCESS,1,0,0.0
0,2,36,3.29393381840012,EXECUTE,SUCCESS,2,0,0.0
0,3,37,3.2832910318764,EXECUTE,SUCCESS,4,0,0.0
0,4,38,3.2802438933713445,EXECUTE,SUCCESS,5,0,0.0
0,5,40,3.2372828112477285,EXECUTE,SUCCESS,10,0,0.0
0,6,44,3.226453160980335,EXECUTE,SUCCESS,12,0,0.0
0,7,45,3.2155870381627047,EXECUTE,SUCCESS,14,0,0.0
0,8,48,3.2124756808418016,EXECUTE,SUCCESS,15,0,0.0
0,9,49,3.2093613071762417,EXECUTE,SUCCESS,16,0,0.0
0,10,50,3.2062439083762784,EXECUTE,SUCCESS,17,0,0.0
0,11,51,3.203123475609392,EXECUTE,SUCCESS,18,0,0.0
0,12,53,3.12409987036266,EXECUTE,SUCCESS,25,0,0.0
0,13,54,3.120897306865445,EXECUTE,SUCCESS,26,0,0.0
0,14,55,3.117691453623977,EXECUTE,SUCCESS,27,0,0.0
0,15,56,3.1144823004794855,EXECUTE,SUCCESS,28,0,0.0
0,16,57,3.111269837220807,EXECUTE,SUCCESS,29,0,0.0
0,17,65,3.0740852297878773,EXECUTE,SUCCESS,33,0,0.0
0,18,66,3.0626785662227087,EXECUTE,SUCCESS,35,0,0.0
0,19,67,3.0512292604784697,EXECUTE,SUCCESS,37,0,0.0
0,20,71,3.0479501308256323,EXECUTE,SUCCESS,38,0,0.0
0,21,72,3.044667469527664,EXECUTE,SUCCESS,39,0,0.0
0,22,74,3.015294347157502,EXECUTE,SUCCESS,42,0,0.0
0,23,75,2.985632261347668,EXECUTE,SUCCESS,45,0,0.0
0,24,85,2.973886346180699,EXECUTE,SUCCESS,47,0,0.0
0,25,86,2.9529646120466784,EXECUTE,SUCCESS,49,0,0.0
0,26,88,2.922670012163534,EXECUTE,SUCCESS,52,0,0.0
0,27,90,2.9106700259562213,EXECUTE,SUCCESS,54,0,0.0
0,28,91,2.9072323608545623,EXECUTE,SUCCESS,55,0,0.0
0,29,92,2.903790626061044,EXECUTE,SUCCESS,56,0,0.0
0,30,94,2.8729775495120027,EXECUTE,SUCCESS,59,0,0.0
0,31,95,2.86949472904203,EXECUTE,SUCCESS,60,0,0.0
0,32,103,2.866007676193487,EXECUTE,SUCCESS,61,0,0.0
0,33,104,2.8537694370779136,EXECUTE,SUCCESS,63,0,0.0
0,34,110,2.8502631457463696,EXECUTE,SUCCESS,64,0,0.0
0,35,111,2.846752535785292,EXECUTE,SUCCESS,65,0,0.0
0,36,113,2.8344311598625906,EXECUTE,SUCCESS,67,0,0.0
0,37,117,2.83090091666946,EXECUTE,SUCCESS,68,0,0.0
0,38,118,2.8273662656260132,EXECUTE,SUCCESS,69,0,0.0
0,39,120,2.82382719018002,EXECUTE,SUCCESS,70,0,0.0
0,40,125,2.820283673675396,EXECUTE,SUCCESS,71,0,0.0
0,41,127,2.8167356993512875,EXECUTE,SUCCESS,72,0,0.0
0,42,128,2.804282439412975,EXECUTE,SUCCESS,74,0,0.0
0,43,129,2.800714194629646,EXECUTE,SUCCESS,75,0,0.0
0,44,130,2.777768888874664,EXECUTE,SUCCESS,77,0,0.0
0,45,133,2.7741665415039494,EXECUTE,SUCCESS,78,0,0.0
0,46,134,2.74189715343227,EXECUTE,SUCCESS,81,0,0.0
0,46,135,2.0,EXECUTE,CRASH,177,0,0.0
1,1,35,3.296968304366907,EXECUTE,SUCCESS,1,0,0.0
1,2,36,3.29393381840012,EXECUTE,SUCCESS,2,0,0.0
1,3,37,3.2832910318764,EXECUTE,SUCCESS,4,0,0.0
1,4,38,3.2802438933713445,EXECUTE,SUCCESS,5,0,0.0
1,5,40,3.2372828112477285,EXECUTE,SUCCESS,10,0,0.0
1,6,44,3.226453160980335,EXECUTE,SUCCESS,12,0,0.0
1,7,45,3.2155870381627047,EXECUTE,SUCCESS,14,0,0.0
1,8,48,3.2124756808418016,EXECUTE,SUCCESS,15,0,0.0
1,9,49,3.2093613071762417,EXECUTE,SUCCESS,16,0,0.0
1,10,50,3.2062439083762784,EXECUTE,SUCCESS,17,0,0.0
1,11,51,3.203123475609392,EXECUTE,SUCCESS,18,0,0.0
1,12,53,3.12409987036266,EXECUTE,SUCCESS,25,0,0.0
1,13,54,3.120897306865445,EXECUTE,SUCCESS,26,0,0.0
1,14,55,3.117691453623977,EXECUTE,SUCCESS,27,0,0.0
1,15,56,3.1144823004794855,EXECUTE,SUCCESS,28,0,0.0
1,16,57,3.111269837220807,EXECUTE,SUCCESS,29,0,0.0
1,17,65,3.0740852297878773,EXECUTE,SUCCESS,33,0,0.0
1,18,66,3.0626785662227087,EXECUTE,SUCCESS,35,0,0.0
1,19,67,3.0512292604784697,EXECUTE,SUCCESS,37,0,0.0
1,20,71,3.0479501308256323,EXECUTE,SUCCESS,38,0,0.0
1,21,72,3.044667469527664,EXECUTE,SUCCESS,39,0,0.0
1,22,74,3.015294347157502,EXECUTE,SUCCESS,42,0,0.0
1,23,75,2.985632261347668,EXECUTE,SUCCESS,45,0,0.0
1,24,85,2.973886346180699,EXECUTE,SUCCESS,47,0,0.0
1,25,86,2.9529646120466784,EXECUTE,SUCCESS,49,0,0.0
1,26,88,2.922670012163534,EXECUTE,SUCCESS,52,0,0.0
1,27,90,2.9106700259562213,EXECUTE,SUCCESS,54,0,0.0
1,28,91,2.9072323608545623,EXECUTE,SUCCESS,55,0,0.0
1,29,92,2.903790626061044,EXECUTE,SUCCESS,56,0,0.0
1,30,94,2.8729775495120027,EXECUTE,SUCCESS,59,0,0.0
1,31,95,2.86949472904203,EXECUTE,SUCCESS,60,0,0.0
1,32,103,2.866007676193487,EXECUTE,SUCCESS,61,0,0.0
1,33,104,2.8537694370779136,EXECUTE,SUCCESS,63,0,0.0
1,34,110,2.8502631457463696,EXECUTE,SUCCESS,64,0,0.0
1,35,111,2.846752535785292,EXECUTE,SUCCESS,65,0,0.0
1,36,113,2.8344311598625906,EXECUTE,SUCCESS,67,0,0.0
1,37,117,2.83090091666946,EXECUTE,SUCCESS,68,0,0.0
1,38,118,2.8273662656260132,EXECUTE,SUCCESS,69,0,0.0
1,39,120,2.82382719018002,EXECUTE,SUCCESS,70,0,0.0
1,40,125,2.820283673675396,EXECUTE,SUCCESS,71,0,0.0
1,41,127,2.8167356993512875,EXECUTE,SUCCESS,72,0,0.0
1,42,128,2.804282439412975,EXECUTE,SUCCESS,74,0,0.0
1,43,129,2.800714194629646,EXECUTE,SUCCESS,75,0,0.0
1,44,130,2.777768888874664,EXECUTE,SUCCESS,77,0,0.0
1,45,133,2.7741665415039494,EXECUTE,SUCCESS,78,0,0.0
1,46,134,2.74189715343227,EXECUTE,SUCCESS,81,0,0.0
1,47,135,2.7382476148076864,EXECUTE,SUCCESS,82,0,0.0
1,48,137,2.734593205579211,EXECUTE,SUCCESS,83,0,0.0
1,49,139,2.701851217221256,EXECUTE,SUCCESS,86,0,0.0
1,50,140,2.6076809620810564,EXECUTE,SUCCESS,93,0,0.0
1,51,141,2.5942243542145667,EXECUTE,SUCCESS,95,0,0.0
1,52,142,2.5491174943497574,EXECUTE,SUCCESS,98,0,0.0
1,53,143,2.5451915448547258,EXECUTE,SUCCESS,99,0,0.0
1,54,144,2.434748446965309,EXECUTE,SUCCESS,107,0,0.0
