Epoch,PC_Index,Source_Line,Voltage,Action,Status,Total_Cycles,Wasted_Cycles,Wasted_Time_ms
0,1,42,3.296968313845312,EXECUTE,SUCCESS,1,0,0.0
0,2,44,3.2939338373743943,EXECUTE,SUCCESS,2,0,0.0
0,3,46,3.2744465562900857,EXECUTE,SUCCESS,4,0,0.0
0,4,47,3.2548426037214147,EXECUTE,SUCCESS,6,0,0.0
0,5,49,3.2440715929214625,EXECUTE,SUCCESS,8,0,0.0
0,6,51,3.224282962923694,EXECUTE,SUCCESS,10,0,0.0
0,7,52,3.196560778790229,EXECUTE,SUCCESS,13,0,0.0
0,8,53,3.1764761824229053,EXECUTE,SUCCESS,15,0,0.0
0,9,55,3.156263769474914,EXECUTE,SUCCESS,17,0,0.0
0,10,56,3.1530938845838374,EXECUTE,SUCCESS,18,0,0.0
0,11,59,3.1499208033695063,EXECUTE,SUCCESS,19,0,0.0
0,12,60,3.1467445288742453,EXECUTE,SUCCESS,20,0,0.0
0,13,67,3.143565045056328,EXECUTE,SUCCESS,21,0,0.0
0,14,69,3.123139644252238,EXECUTE,SUCCESS,23,0,0.0
0,15,70,3.1199360987045868,EXECUTE,SUCCESS,24,0,0.0
0,16,72,3.099354994994926,EXECUTE,SUCCESS,26,0,0.0
0,17,73,3.078636306873548,EXECUTE,SUCCESS,28,0,0.0
0,18,74,3.057777224553809,EXECUTE,SUCCESS,30,0,0.0
0,19,75,3.0367748681784095,EXECUTE,SUCCESS,32,0,0.0
0,20,76,3.015626244248448,EXECUTE,SUCCESS,34,0,0.0
0,20,78,2.0000014999994375,CHECKPOINT,SUCCESS,130,0,0.0
0,21,78,2.000000015625,EXECUTE,SUCCESS,131,0,0.0
0,22,81,2.000000015625,EXECUTE,SUCCESS,132,0,0.0
0,23,83,2.0000000312499995,EXECUTE,SUCCESS,134,0,0.0
0,24,84,2.000000005625,EXECUTE,SUCCESS,135,0,0.0
0,25,85,2.0,EXECUTE,CRASH,136,6,0.000375
1,1,42,3.2969683077791325,EXECUTE,SUCCESS,1,0,0.0
1,2,44,3.2939338252308588,EXECUTE,SUCCESS,2,0,0.0
